id,intitule,description,dateCreation,dateActualisation,lieuTravail_libelle,lieuTravail_latitude,lieuTravail_longitude,lieuTravail_codePostal,lieuTravail_commune,typeContrat,typeContratLibelle,natureContrat,experienceExige,experienceLibelle,competences_code,competences_libelle,competences_exigence,salaire_commentaire,salaire_libelle,salaire_complement1,dureeTravailLibelle,dureeTravailLibelleConverti,alternance,contact_nom,contact_coordonnees1,contact_courriel,urlPostulation,secteurActivite,secteurActiviteLibelle,origineOffre_origine,origineOffre_urlOrigine,partenaires,offresManqueCandidats
7563219,Data Scientist Speech-to-Text (H/F),"Description de l'entrepriseInetum est un leader européen des services numériques. Pour les entreprises, les acteurs publics et la société dans son ensemble, les 28 000 consultants et spécialistes du groupe visent chaque jour l'impact digital : des solutions qui contribuent à la performance, à l'innovation et au bien commun.Présent dans 19 pays au plus près des territoires, et avec ses grands partenaires éditeurs de logiciels, Inetum répond aux enjeux de la transformation digitale avec proximité et flexibilité.Porté par son ambition de croissance et d'industrialisation, Inetum a généré en 2023 un chiffre d'affaires de 2,5 milliards d'€.Pour répondre à un marché en croissance continue depuis plus de 30 ans, Inetum a fait le choix délibéré de se recentrer sur 4 métiers afin de gagner en puissance et proposer des solutions sur mesure, adaptées aux besoins spécifiques de ses clients : le conseil (Inetum Consulting), la gestion des infrastructures et applications à façon (Inetum Technologies), l'implémentation de progiciels (Inetum Solutions) et sa propre activité d'éditeur de logiciels (Inetum Software). Inetum a conclu des partenariats stratégiques avec 4 grands éditeurs mondiaux - Salesforce, ServiceNow, Microsoft et SAP et poursuit une stratégie d'acquisitions dédiée afin d'entrer dans le top 5 européen sur ces technologies et proposer la meilleure expertise à ses clients.Tous nos postes sont ouverts aux personnes en situation de handicap.Description du posteNous recherchons un (une) Data Scientist expérimenté(e) spécialisé(e) en Speech-to-Text pour intervenir chez un grand client du secteur bancaire, sur l'ensemble de son SI général et ses applications utilisateurs et clients. Tu travailleras sur Call Analyzer, un projet innovant visant à transcrire et analyser les appels client-conseiller en utilisant Whisper pour la conversion Speech-to-Text et Pyannote pour la diarization (séparation des interlocuteurs). L'objectif ? Créer une base de données d'appels pour optimiser la conformité, le marketing et les stratégies métiers à travers un partenariat avec Worldline. Tes tâches :Développer et optimiser des modèles Speech-to-Text avec Whisper Mettre en place la diarization des interlocuteurs via Pyannote Améliorer la qualité et la précision des transcriptions pour garantir une analyse efficace Collaborer avec les équipes métier et SI pour adapter les solutions aux besoins du secteur bancaire Participer aux évolutions technologiques et proposer des améliorations  QualificationsStack & Compétences :Expérience requise : Minimum 4 ans en STT (Speech-to-Text), Whisper, Pyannote et Diarization Solide compréhension des modèles NLP et IA appliqués à l'audio   Connaissance des outils et pipelines d'intégration et traitement des données vocales Capacité à travailler sur des projets à forte valeur ajoutée et évolutifs Autonomie, rigueur, esprit analytique et sens du service Informations supplémentairesPourquoi nous rejoindre ?Impact direct sur un grand système bancaire, avec des enjeux stratégiques réels Technologies avancées en IA et traitement du langage naturelCollaboration avec des experts métier pour créer une solution innovante  ",2025-06-01T06:33:17.000Z,2025-06-01T06:33:17.000Z,44 - NANTES,47.239367,-1.555335,44000,44109,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,,,,,,,,,False,,,,,,,2,https://candidat.francetravail.fr/offres/recherche/detail/7563219,HANDICAP_JOB (https://www.handicap-job.com/recherche/detail/oid/6257342/data-scientist-speech-to-text-hf.html),
7563203,Ingénieur Data R&D (P.PURE) - SBS - Annecy (H/F),"Description de l'entrepriseSopra Banking Software est le partenaire technologique de référence de plus de 1 500 institutions financières dans le monde.La richesse de notre offre, la puissance de notre engagement et notre passion pour l'innovation nous permettent d'accompagner nosclients au quotidien dans leurs projets d'avenir, mais également de contribuer à rendre la finance accessible au plus grand nombre.Nos clients bénéficient chaque jour de la puissance de nos technologies et softwares, ainsi que de l'expertise de nos 5 000 collaborateurs.Nous les accompagnons dans plus de 80 pays dans le monde.Sopra Banking Software est une filiale du groupe Sopra Steria, leader européen du conseil, des services numériques et de l'édition delogiciels. Fort de 50 000 collaborateurs, ce dernier affiche un chiffre d'affaires 2022 de €5.1 Milliards d'euros.Pour plus d'information, retrouvez-nous sur LinkedIn, Twitter & Instagram ou visitez www.soprabanking.comDescription du posteAu sein d'un pôle R&D annécien de plus de 100 personnes, vous integrez une équipe internationale de 50 personnes basées entre Annecy (France) et Noida (Inde) en charge de la conception et du développement du tout nouveau progiciel de reporting réglementaire PURE. Ces développements s'inscrivent dans le cadre d'initiatives du groupe autour des technologies Big Data et Intelligence artificielle.PURE (Pioneering the Unified Reporting Experience) est la nouvelle solution Cloud Native / Big Data / Analytics de reporting réglementaire de Sopra Banking Software. Elle est basée sur la plateforme orientée DevOps développée par SBS. Elle expose de nombreux services qui permettent d'optimiser les activités de reporting de notre très large portefeuille de banques clientes. PURE est opéré en SaaS sur AWS par nos équipes.En tant que membre à part entière de l'équipe, vous participerez aux études et au développement de la couche commune d'acquisition de données de la solution PURE.Vos tâches sont les suivantes :S'intégrer à a la vie de l'équipe en participant aux différentes activités et cérémoniesParticiper à des études permettant de valider des hypothèses techniques et fonctionnellesImplémenter des maquettes permettant de valider les architectures proposéesParticiper au dévelopement et l'industrialisation de la solution au sein de notre plateforme CloudTechnical Stack : Cloud / Kubernetes / Helm / Docker / Apache Spark / MongoDB / ClickHouse / Metabase / Java / Angular / Devops / GitLabEnvironnement : Environnement développement OpenSource, équipes de développement AgileQualificationsVous êtes en dernière année d'École d'Ingénieurs ou Master 2 Informatique, vous avez la fibre technique et vous êtes passionné(e) par les nouvelles technologies.Autonome, curieux(se), rigoureux(se), vous êtes doté(e) d'un véritable esprit d'équipe et de service. Vous maîtrisez l'anglais. Tous nos postes sont accessibles aux personnes en situation de handicap.Informations supplémentairesUn accord télétravail pour télétravailler jusqu'à 2 jours par semaine selon vos tâches. Un package avantages intéressant : une mutuelle, un CSE, des titres restaurants, un accord d'intéressement, des primes vacances et cooptation.Un accompagnement individualisé avec un mentor.Des opportunités de carrières multiples : plus de 30 familles de métiers, autant de passerelles à imaginer ensemble.Plusieurs centaines de formations accessibles en toute autonomieLa possibilité de s'engager auprès de notre fondation ou de notre partenaire « Vendredi »Employeur inclusif et engagé, notre société œuvre chaque jour pour lutter contre toute forme de discrimination et favoriser un environnement de travail respectueux. C'est pourquoi, attachés à la mixité et à la diversité, nous encourageons toutes les candidatures et tous les profils.https://www.soprasteria.fr/nous-connaitre/nos-engagements ",2025-06-01T06:33:15.000Z,2025-06-01T06:33:15.000Z,74 - MONTAGNY LES LANCHES,45.860458,6.048457,74600,74186,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,,,,,,,,,False,,,,,,,2,https://candidat.francetravail.fr/offres/recherche/detail/7563203,HANDICAP_JOB (https://www.handicap-job.com/recherche/detail/oid/6256764/stage-ingenieur-data-rd-ppure-sbs-annecy.html),
7562485,CA-CIB - Développeur Back-End Java Big Data H/F,"Au sein de la DSI, vous évoluerez dans un environnement particulièrement stimulant en tant que Développeur Back-End Java sur des applications coeur de métier. En tant que Développeur Back-End Java Big Data, vos responsabilités consisteront à :  * Comprendre les besoins client et leur traduction en fonctions applicatives,  * Travailler étroitement avec les Analystes, les designers et les équipes en charge du support et des infrastructures,  * Ecrire un code de qualité pour programmer des applications complètes dans les temps et concevoir des prototypes créatifs selon les spécifications,  * Participer à la mise en place de nouvelles architectures (API, micro-services, exploitabilité des données.),  * Garantir que les contraintes d'assurance qualité, de performance, de stabilité, de maintenabilité et d'évolutivité sont respectées,  * Respecter les standards de développement mis en place (CI/CD, DDD) et promouvoir les pratiques de tests systématiques,  * Elaborer des documents techniques et manuels pour représenter précisément la conception applicative et le code source. De formation supérieure, vous disposez d'au moins 6 ans d'expérience professionnelle en développement informatique sur des applications stratégiques et sensibles. Le profil recherché pour ce poste de Développeur Back-End Java Big Data :  * Doit avoir une solide connaissance en Java 8-21 et Kafka ;  * Doit avoir, idéalement, une bonne compréhension des Design Pattern d'architecture ;  * Doit être intéressé par le secteur bancaire ;  * Doit être passionné par l'innovation et les technologies de pointe ;  * Anglais courant obligatoire. La rémunération et les avantages à ce poste sont :  * Un contrat à durée indéterminée (CDI) ;  * Une possibilité de télétravail jusqu'à 2 jours par semaine ;  * L'adhésion à la convention collective de la banque ;  * Un programme d'intéressement ;  * L'accès à un CSE très dynamique. Nous encourageons vivement tous les candidats intéressés à postuler à ce poste passionnant et stimulant au sein d'une organisation de premier plan dans le secteur des services financiers. Processus de recrutement :  * Test de Coding Games ;  * Journée de job dating le 25 juin 2025 avec rencontres des managers et Tech Lead sur le campus de CA-CIB ;  * Entretien Teams plus échange RH ;  * Réponse sous 72H après la fin du processus de 3 jours.",2025-06-01T05:28:00.000Z,2025-06-01T05:28:00.000Z,France,48.815304,2.316489,,,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée de 1 An(s),,,,,"Annuel de 60000,00 Euros à 70000,00 Euros",,,,False,,,,,64,Activités de banque centrale,2,https://candidat.francetravail.fr/offres/recherche/detail/7562485,BROADBEAN (https://www.aplitrak.com/?adid=TVAuMjQ2MjguMTMwODdAcGFnZWZyYXV0b3Bvc3QuYXBsaXRyYWsuY29t),
7560308,data analyste H/F - EC20613,"data analyste H/F - EC20613 Data analyste (F/H) - Hôtel du département à Evreux Annonce n-EL-20241011.00  Au sein de la direction du numérique, vous aurez en charge l'analyse et la gestion des données, la création de rapports et de tableaux de bord, ainsi que l'amélioration continue des systèmes décisionnels. Avec l'aide de trois agents, vous veillerez à la qualité, la précision et l'intégrité des bases de données, tout en collaborant étroitement avec les directions métier pour répondre à leurs besoins spécifiques en matière de données. Vous serez responsable de la visualisation des données, de l'identification des tendances et des anomalies, et de la communication régulière des résultats à votre hiérarchie. Votre rôle impliquera également de participer à des formations internes et externes pour développer vos compétences et contribuer à l'optimisation des processus, à la prise de décision informée et à l'amélioration des services publics, tout en respectant les plannings et les standards de qualité attendus.  Révélez votre talent, rejoignez-nous !  Informations utiles : Poste permanent, ouvert aux titulaires et aux contractuels Elodie LOUBERE sera en charge de ce recrutement  Missions : - Répondre aux besoins de requêtes des directions métiers selon un contrat de service à définir et automatiser les tâches régulières : recueillir l'expressions des besoins utilisateurs, concevoir les requêtes, rapports et tableaux de bord requis ... ; - Maintenir le bon fonctionnement et l'exploitation des bases de données des systèmes d'information ; - Mettre en œuvre des outils de référentiels de données, des outils de type datalake et datamining ; - Travailler à la remédiation des données, à la création et au suivi des référentiels métiers, mise à jour des formulaires ; - Assurer la qualité des données : définir des règles de gestion de nettoyage des bases de données (gestion des doublons), analyser les données et identifier les corrections nécessaires, mettre en place des processus de contrôle pour vérifier la complétude et l'exactitude des données ; - Former des référents à l'extraction de données, à la création et aux mises-à-jour de tableaux de bord.  Conditions d'exercice de l'emploi : Cadre d'emplois des ingénieurs territoriaux (F/H) - catégorie A Emploi situé à l'hôtel du département à Evreux ; Relations avec les agents de la direction du numérique et des directions métiers ; Plan de formation dynamique ;  Complément indemnitaire lié à la réalisation des objectifs après 6 mois d'ancienneté ; Accès restaurant administratif ;  Participation à la protection sociale (santé et prévoyance), possibilité de subventions pour gardes d'enfants, de chèques vacances, amicale du personnel (accès aux loisirs) ; Possibilité de télétravail et jusqu'à 49 jours de congés et RTT cumulés.",2025-06-01T02:36:35.000Z,2025-06-01T02:36:35.000Z,27 - EVREUX,49.020599,1.146898,27000,27229,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée de 1 An(s),,,,,,,,,False,,,,,,,2,https://candidat.francetravail.fr/offres/recherche/detail/7560308,EMPLOI COLLECTIVITES (https://www.emploi-collectivites.fr/offre-emploi-territoriale-departement-eure/data-analyste-96491?prov=PE),
7557458,Alternance - Data analyst F/H (H/F),"Quelles seront Tes missions ? Au cours de ton alternance, tu auras pour principales missions : 1. Analyser les besoins des équipes métiers  - Recueillir les besoins des opérationnels métiers  - Analyser les demandes en prenant en compte l'environnement des métiers (compréhension des métiers, process...)  - Définir les indicateurs pertinents qui permettront de répondre au mieux aux demandes   2. Créer des visuels  - Exploiter les bases de données  - Analyser les données  - Modéliser les données sur Power BI  - Préparer et produire des reportings d'activité et créer des outils   3. Accompagner les utilisateurs métiers dans la prise en main de l'outil cible  - Créer des supports sur le fonctionnement des outils  - Aider les utilisateurs métiers lorsqu'ils rencontrent des problématiques/incidents  - Répondre aux questions des utilisateurs métiers  Où vas-tu travailler ? Sur le site de Saint-Quentin-en-Yvelines, situé au 4 Rue de la Redoute à Guyancourt (78)     Ce poste est fait pour Toi si : Tu prépares un Bac+4 en big data, mathématiques, sciences ou statistiques dans une école type ingénieur et souhaite t'engager sur 2 ans Tu as une appétence pour la Data que tu sais travailler en mode AGILE. Tu es de nature curieuse et autonome. Tu as des compétences analytiques. Tu maitrises Power Platform (Power Automat, Power Apps, Power BI, SharePoint...). La maîtrise de Python, SQL et des outils ETL constitue un atout supplémentaire.  Ton accompagnement en intégrant MALAKOFF HUMANIS :    Tu suivras un plan d'accompagnement adapté lors de ta prise de poste.?   Tout au long de ton parcours professionnel, tu pourras bénéficier de différents dispositifs de formation et évoluer au sein du Groupe grâce à nos opportunités en mobilité interne.   Envie d'en savoir plus sur qui nous sommes chez Malakoff Humanis ??"" Quand on pousse la porte de?MALAKOFF HUMANIS?""   Alors prêt(e) à nous rejoindre ?",2025-05-31T17:32:05.000Z,2025-05-31T17:32:05.000Z,78 - GUYANCOURT,48.772152,2.070024,78280,78297,CDD,Contrat à durée déterminée - 24 Mois,Cont. professionnalisation,D,Débutant accepté,,,,,,,,,True,,,,,66,Autres activités auxiliaires d'assurance et de caisses de retraite,2,https://candidat.francetravail.fr/offres/recherche/detail/7557458,TALENTPLUG (http://app.mytalentplug.com/redirection.aspx?ojid=u9C2yL2EHTUKpdxJH2WH7A==),
7555484,Stagiaire Machine Learning & Data Science H/F,"Les challenges de l'intelligence artificielle et du machine learning vous attirent et tout particulièrement ceux dans le secteur de l'automobile ? Vous désirez intégrer une entreprise de renommée internationale et participer à un projet IA ambitieux afin d'acquérir une expérience enrichissante ?  C'est le moment de nous rejoindre, car nous recherchons notre futur/e stagiaire Machine Learning & Data Science H/F, pour une durée de 6 mois, au Plessis-Robinson (92).  Le contexte ?  DEKRA est un leader mondial des services pour l'industrie automobile, offrant des solutions innovantes aux constructeurs, loueurs et distributeurs à travers le monde. Au sein de DEKRA Automotive Solutions France - Fleet & Remarketing, nous développons des outils digitaux avancés et proposons des solutions à nos clients pour optimiser la recommercialisation des véhicules d'occasion (VO).  Grâce à une grande richesse en données, nous avons pour ambition de concevoir un Decision Support System (DSS) intégrant des modèles d'intelligence artificielle et de machine learning pour améliorer la prédiction des prix, la demande, les recommandations et l'optimisation des flux VO.  Votre rôle ?  Au sein de notre équipe projet, vous serez responsable du développement des modèles de machine learning et d'intelligence artificielle pour l'optimisation de notre activité remarketing.   Vos missions ?  - Analyser les enjeux métier et comprendre les besoins spécifiques du secteur automobile et de la recommercialisation VO - Explorer et préparer les données issues de diverses sources pour assurer la qualité et la pertinence des modèles - Développer, entraîner et évaluer des modèles prédictifs (pricing dynamique, forecast de la demande, scoring, recommandations, segmentation clients, etc.) - Optimiser et industrialiser les modèles pour les rendre exploitables en production - Collaborer avec les équipes métier et techniques afin de proposer des solutions pragmatiques et adaptées aux besoins - Participer à l'ensemble du cycle de vie du projet IA : de la définition du problème à la mise en production     Votre profil ?  Formation : - Étudiant/e en fin d'études (Master 2, école d'ingénieur ou équivalent) en Data Science, Machine Learning, Intelligence Artificielle, Mathématiques appliquées ou Informatique.  Compétences techniques clés : - Modèles de machine learning : Régression, arbres de décision, forêts aléatoires, XGBoost, SVM, réseaux de neurones, clustering, NLP, systèmes de recommandations... - Langages et outils : Python (Pandas, NumPy, Scikit-learn, TensorFlow/PyTorch), SQL, Git, Docker. - Manipulation et structuration des données : Feature engineering, traitement des données massives. - Déploiement et industrialisation : API, intégration dans un environnement cloud (AWS, Azure ou GCP est un plus).  Savoir-être : - Curiosité et compréhension rapide des enjeux métier pour proposer des solutions adaptées. - Esprit analytique et pragmatique, avec un fort sens du résultat. - Capacité à travailler en équipe et à communiquer efficacement avec les autres membres du projet.   Pourquoi nous rejoindre ?  - Un projet IA de A à Z, avec un impact direct sur les stratégies de vente des constructeurs et loueurs automobiles. - Une richesse en données permettant des analyses et modèles à fort enjeu business. - Une entreprise internationale reconnue dans l'industrie automobile. - Un environnement stimulant où vous pourrez exprimer votre créativité et affiner vos compétences en IA appliquée.",2025-05-31T17:26:52.000Z,2025-05-31T17:26:52.000Z,92 - LE PLESSIS ROBINSON,48.781328,2.260619,92350,92060,CDD,Contrat à durée déterminée - 6 Mois,Contrat apprentissage,D,Débutant accepté,,,,,,,,,True,,,,,74,"Activités spécialisées, scientifiques et techniques diverses",2,https://candidat.francetravail.fr/offres/recherche/detail/7555484,TALENTPLUG (http://app.mytalentplug.com/description-offre.aspx?ojid=HV8sVi+4DXuNCU9tgsh3qA==),
7555062,Alternance Data Analyst H/F,"Dalkia, filiale du groupe EDF, accompagne ses clients dans leur transition énergétique grâce à des solutions innovantes de performance énergétique. Dalkia Nord-Ouest recherche un.e alternant.e Data Analyst pour renforcer l'équipe Performance au sein du Pôle SysCo. En appui de votre tuteur, vos principales missions seront : Création de tableaux de bords sociaux / dashboards : intégration de données techniques métiers Analyse et interprétation des données : exploitation des données pour aider à la prise de décision Alimentation et maintenance des flux de données : collecte et intégration de nouvelles données, transformation et veille de la qualité des données  Documentation : rédaction de guides utilisateurs, fiches techniques, fiches de suivi pour chaque dashboard développé  Support utilisateur : gestion du support utilisateur, gestion des accès, SAV / résolution de problèmes Tu as le goût des données, l'œil pour les détails et l'envie de contribuer à des projets à impact dans l'industrie ? Rejoins-nous pour concevoir et piloter des dashboards stratégiques au service de la performance énergétique ! Formation souhaitée : BTS ou BUT Compétences techniques et qualités attendues : Maitrise des outils de Data Visualisation (connaissance de Tableau est un plus) Maitrise de la suite Google et notamment Sheet (à défaut Excel) Connaissance des bases de données Capacité à analyser et interpréter des données complexes Bonnes compétences rédactionnelles et sens de la pédagogie Autonomie, rigueur, esprit d'équipe, capacité d'analyse",2025-05-31T15:34:17.000Z,2025-05-31T15:34:17.000Z,59 - LILLE,50.631718,3.047833,59000,59350,CDD,Contrat à durée déterminée - 36 Mois,Contrat apprentissage,D,Débutant accepté,,,,,,,,,True,,,,,35,Production et distribution de vapeur et d'air conditionné,2,https://candidat.francetravail.fr/offres/recherche/detail/7555062,DALKIA (https://www.aplitrak.com/?adid=YmJnZW5lcmljLjA5OTIzLjEzMjM1QGRhbGtpYWF1dG9wb3N0LmFwbGl0cmFrLmNvbQ),
7554809,Responsable SIRH et Data RH F/H (H/F),"Dans le cadre de la croissance de ses activités, VINCI Energies cherche un.e Responsable SIRH et Data RH pour rejoindre la future Division : VINCI Energies North America & France Industry.   Cette sixième division regroupera les activités de VINCI Energies en Amérique du Nord, principalement axées sur les infrastructures énergétiques - ainsi que les activités industrielles en France. Cette entité réunira environ 14 000 collaborateurs et représentera un chiffre d'affaires de 2,7 milliards d'euros.     Dans ce contexte, vous ferez partie de la Direction des Richesses Humaines de la Division.    Vos principales missions, sans que cette liste soit exhaustive, seront :   Piloter, en lien avec l'équipe Corporate, le déploiement du nouveau SIRH dans les différents pôles de la division.  Gérer la prise en compte des spécificités locales pays (analyse des spécificités métiers, rédaction des spécifications fonctionnelles.)  Accompagner le changement dans les différents pôles de la division  Plus globalement, être l'interlocuteur(rice) privilégié(e) des pôles sur les sujets SIRH  Piloter la qualité de la data RH et produire les analyses pertinentes et adaptées pour la division  Être en charge de la consolidation RH et du reporting social  Diplômé(e) d'une école de commerce, université ou école d'ingénieur, spécialisation Systèmes d'information et/ou RH, vous possédez une expérience de 5-8 ans dans le domaine des SIRH (cabinet ou entreprise) idéalement en environnement matriciel international.  Véritable agent du changement, vous savez concrètement ce qu'est un projet de changement de SIRH dans une entreprise  Vous avez une expérience significative d'environnements matriciels et internationaux, en particulier anglo-saxons.     Compétences techniques :   Une double compétence RH et Informatique qui vous permet de parfaitement appréhender les besoins et attentes du métier.  Gestion des relations complexes/transverses avec des parties prenantes dans plusieurs zones géographiques, en prenant en compte les différentes cultures,  Gestion de projet  Data RH  Change Management  Bonnes capacités rédactionnelles et d'analyse  Anglais courant (min niveau C1)     Compétences comportementales :  Sens du service client   Excellentes qualités relationnelles et d'animation pour pouvoir accompagner, influencer, coordonner, engager  Bonne organisation personnelle pour pouvoir suivre plusieurs échéances  Capacité à communiquer de façon ouverte et régulière  Vous êtes organisé(e), curieux(se), sociable et aimez apporter des nouvelles idées.  Vous savez/aimez travailler en équipe et en autonomie. Mission : Dans le cadre de la croissance de ses activités, VINCI Energies cherche un.e Responsable SIRH et Data RH pour rejoindre la future Division : VINCI Energies North America & France Industry. Cette sixième division regroupera les activités de VINCI Energies en Amérique du Nord, principalement axées sur les infrastructures énergétiques - ainsi que les activités industrielles en France. Cette entité réunira environ 14 000 collaborateurs et représentera un chiffre d'affaires de 2,7 milliards d'euros.  Dans ce contexte, vous ferez partie de la Direction des Richesses Humaines de la Division. Vos principales missions, sans que cette liste soit exhaustive, seront : Piloter, en lien avec l'équipe Corporate, le déploiement du nouveau SIRH dans les différents pôles de la division.Gérer la prise en compte des spécificités locales pays (analyse des spécificités métiers, rédaction des spécifications fonctionnelles.)Accompagner le changement dans les différents pôles de la divisionPlus globalement, être l'interlocuteur(rice) privilégié(e) des pôles sur les sujets SIRHPiloter la qualité de la data RH et produire les analyses pertinentes et adaptées pour la divisionÊtre en charge de la consolidation RH et du reporting social Profil demandé : Diplômé(...",2025-05-31T15:32:03.000Z,2025-05-31T15:32:03.000Z,78 - Yvelines,,,,,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée,,,,,,,,,False,,,,,,,2,https://candidat.francetravail.fr/offres/recherche/detail/7554809,BATIACTU (https://emploi.batiactu.com/offre-emploi/vinci-energies-sa-responsable-sirh-et-data-rh-f-h-montesson-850215.php?utm_source=candidat.francetravail.fr&utm_medium=referral&utm_path=/candidat/rechercheoffres/detail/idBA/850215),
7554808,Alternance - Data Analyst H/F,"Au sein de la filière showroom Envie de Salle de Bain, dans un environnement mêlant à la fois BtoC et BtoB et avec de fortes ambitions de développement, vous êtes rattaché(e) à la responsable Efficacité Commerciale.  Vous travaillerez également en lien avec les différents services support de l'entreprise (DSI, contrôle de gestion, communication, digital, .) et les équipes en région.  Vos missions seront les suivantes :    Suivre et analyser la performance des showrooms Envie de Salle de Bain.  Analyse en détail des ventes / des clients pour formuler des recommandations pour aider à la prise de décision sur des sujets stratégiques.  Support aux animateurs régionaux dans le suivi de leurs opérations commerciales locales ou dans des analyses d'activité précises (marge.).    Liste non exhaustive, évolutive en fonction du profil !",2025-05-31T15:32:02.000Z,2025-05-31T15:32:02.000Z,92 - Hauts de Seine,,,,,CDD,Contrat à durée déterminée - 24 Mois,Contrat apprentissage,E,Expérience exigée,,,,,,,,,True,,,,,,,2,https://candidat.francetravail.fr/offres/recherche/detail/7554808,BATIACTU (https://emploi.batiactu.com/offre-emploi/envie-de-salle-de-bainsgdbf-alternance-data-analyst-h-f-courbevoie-850097.php?utm_source=candidat.francetravail.fr&utm_medium=referral&utm_path=/candidat/rechercheoffres/detail/idBA/850097),
7554678,Chef de projet Data Produits H/F,"   Au sein de la direction Marketing Achats, rattaché(e) au service Performance Datas & Pricing, vous contribuerez à garantir la qualité des données Produits de nos différents référentiels.  Vous travaillerez en étroite collaboration avec les équipes Marchés (notamment les Chargés de Données Produits et Marketing), Offre, Référentiel et IT. Vous aurez des contacts fréquents avec les Fournisseurs.     Missions principales :     Garantir la complétude et la qualité des données Produits sur nos canaux de communication (catalogue, sites web, outil d'Exploitation des points de vente)  Analyser la cohérence du référencement des articles dans nos points de vente en liaison avec le service logistique.  Organiser des points avec les fournisseurs pour améliorer la qualité des données articles et tarifaires qu'ils nous mettent à disposition  Mesurer la progression de la qualité de la donnée grâce à des analyses mensuelles axées sur la complétude des données produits (médias, caractéristiques techniques, réglementations.) et participer à l'amélioration continue des reportings de mesure de la qualité de la donnée (automatisation, ergonomie, prise en compte des besoins des utilisateurs, allégement).  Rédiger des process d'optimisation de la maintenance des données et déploiement auprès des différents services en charge (Marchés, Offre, Logistique)  Animer la communauté des Chargés de données sur les process d'enregistrement des données et sur l'amélioration des KPI.  Piloter les évolutions des systèmes (PIM, SAP) avec les équipes Référentiels et IT du Groupe    Missions additionnelles :     Réaliser des analyses ponctuelles selon les projets et demandes des autres services (vérification de paramétrage, analyse de la structure de nomenclature).  Être en soutien au Responsable de données produits pour accompagner les utilisateurs PIM sur les questions des utilisateurs.",2025-05-31T15:31:23.000Z,2025-05-31T15:31:23.000Z,92 - Hauts de Seine,,,,,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée,,,,,,,,,False,,,,,,,2,https://candidat.francetravail.fr/offres/recherche/detail/7554678,BATIACTU (https://emploi.batiactu.com/offre-emploi/cedeosgdbf-chef-de-projet-data-produits-h-f-courbevoie-850189.php?utm_source=candidat.francetravail.fr&utm_medium=referral&utm_path=/candidat/rechercheoffres/detail/idBA/850189),
