id,intitule,description,dateCreation,dateActualisation,lieuTravail_libelle,lieuTravail_latitude,lieuTravail_longitude,lieuTravail_codePostal,lieuTravail_commune,typeContrat,typeContratLibelle,natureContrat,experienceExige,experienceLibelle,competences_code,competences_libelle,competences_exigence,salaire_commentaire,salaire_libelle,salaire_complement1,dureeTravailLibelle,dureeTravailLibelleConverti,alternance,contact_nom,contact_coordonnees1,contact_courriel,urlPostulation,secteurActivite,secteurActiviteLibelle,origineOffre_origine,origineOffre_urlOrigine,partenaires,offresManqueCandidats
193FBQB,Serveur (F/H),"Besoin d'un coup pouce pour faire avancer votre carrière ? Votre consultant Randstad, spécialisé dans votre métier, vous aidera à trouver la meilleure opportunité. Notre client situé à VALREAS recherche un talent pour rejoindre son équipe dynamique de restauration offrant des expériences culinaires de qualité. Pourquoi rejoindre cette entreprise ? Notre client affiche une mentalité innovante et dynamique, offrant des défis passionnants dans une organisation à taille humaine. Rejoignez une entreprise qui saura faire évoluer votre carrière.  Comment aimeriez-vous créer des moments inoubliables en tant que Serveur/Serveuse (F/H) ? Intégrez une équipe dynamique en assurant un service de qualité et en conseillant les clients sur les produits locaux du restaurant  - Assurer un service efficace et courtois aux clients pendant le service du midi - Participer au dressage des tables, en veillant à une présentation soignée et conforme aux standards de l'établissement - Réaliser des tâches de plonge, en maintenant la propreté et l'organisation de l'espace de travail tout au long du service   Rejoignez une équipe ambitieuse et bénéficiez d'avantages clés :  En nous rejoignant, vous bénéficierez des avantages Fast TT, incluant garantie de salaire, avantages sociaux et opportunités de formation, pour une expérience intérimaire exceptionnelle.  Nous recherchons un Serveur (F/H) passionné et expérimenté pour offrir un service client exceptionnel dans un cadre dynamique.  - Deux ans d'expérience en service en salle exigée - Compétences en dressage et conseil client, avec une touche personnelle - Connaissance approfondie des produits régionaux pour conseiller efficacement la clientèle - CAP Restaurant ou équivalent souhaité pour fournir un service de haute qualité  Processus de recrutement Vous recherchez un nouveau défi professionnel? Postulez dès maintenant!",2025-05-30T15:21:16.789Z,2025-05-30T15:21:17.070Z,84 - Valréas,44.371583,4.986506,84600,84138,MIS,Intérim - 3 Mois,Contrat travail,E,1 An(s),,,,,Horaire de 11.88 Euros sur 12.0 mois,,35H Travail en journée,Temps plein,False,RANDSTAD - Mme Sana TASSOU,https://www.randstad.fr/offre/001-QV-1753866_01C/A?utm_source=pole-emploi&utm_medium=jobboard&utm_campaign=offres,,,78,Activités des agences de travail temporaire,1,https://candidat.francetravail.fr/offres/recherche/detail/193FBQB,,False
193FBLJ,Serveur Piscine (H/F) - BAUMANIERE LA CABRO D'OR (13520) (H/F),"Nous recherchons pour notre restaurant gastronomique La Cabro d'Or d'un Serveur Piscine (H/F).  Vos principales tâches de travail seront :  - Mise en place de l'espace piscine (serviettes, boissons) - Assurer la prise de commande, le service et le débarrassage des boissons et des plats - Nettoyage  Profil recherché : - Vous êtes organisé(e), rigoureux  - Vous avez un bon contact client et le sens de l'accueil - Excellente présentation, souriant, disponible et discret - Capacité à travailler en équipe et à gérer le stress  - Vous maîtrisez l'anglais (impératif)   Informations contractuelles  - Poste en CDD non logé - Prise de poste immédiate et jusqu'au 14/09/2025  - À temps plein (39h) - 2 jours de repos consécutifs par semaine  - Horaires de travail en continu - Salaire : 1618 € net (repas fourni les jours travaillés)   Les petits + - Parking sous vidéosurveillance - Repas fournis sur les jours travaillés - Cantine connectée FOODLES - Tarifs préférentiels sur nos prestations (hôtel, restaurants, boutique, spa)",2025-05-30T15:15:26.993Z,2025-05-30T15:15:27.400Z,13 - LES BAUX DE PROVENCE,43.745029,4.797836,13520,13011,SAI,Saisonnier - 3 Mois,Contrat travail,D,Débutant accepté,101901;300556;117933;104324;117932,Accueillir le client et l'installer;Conseiller le client dans ses choix de boissons ou plats selon ses goûts;Effectuer le service des plats à table;Prendre une commande client;Réaliser la mise en place de la salle et de l'office,S;S;S;S;S,,Mensuel de 2079.0 Euros sur 12.0 mois,Restauration,39H Travail en journée,Temps plein,False,OUSTAU DE BAUMANIERE - Mme BRICKA Julie,https://jobs.layan.eu/fr/offer-of-baumaniere-no-67167,,,55,Hôtels et hébergement similaire,1,https://candidat.francetravail.fr/offres/recherche/detail/193FBLJ,,False
193FBKC,Serveur / Serveuse en restauration village vacances (H/F),"Envie de vivre une nouvelle expérience professionnelle dans un camping en Vendée  ? Le CAMPING CCGPF( COMITE CENTRAL DU GROUPE PUBLIC FERROVIAIRE), est situé à Landevieille et propose de nombreux services et activités pour petits et grands...   Notre futur serveur/serveuse (H/F) aura pour mission d'assister le débarrassage dans la mise en place .  Nous recherchons une personne motivée et capable d'appliquer les consignes données et volontaire d'apprendre auprès de ses équipiers.  Type d'emploi : Temps plein, CDD de 3 Mois (Juin,juillet/Aout) Salaire : 1814 Euros /Brut  Congé: 2 jours Consécutifs  POSSIBILITÉ D ÊTRE LOGE SUR PLACE",2025-05-30T15:13:42.319Z,2025-05-30T15:13:42.741Z,33 - Le Verdon-sur-Mer,45.542951,-1.083102,33123,33544,CDD,CDD - 3 Mois,Contrat travail,D,Débutant accepté,101901;117933;117932,Accueillir le client et l'installer;Effectuer le service des plats à table;Réaliser la mise en place de la salle et de l'office,S;S;S,,Mensuel de 1843.0 Euros sur 12.0 mois,Hébergement,35H Travail en journée,Temps plein,False,COMITE CENTRAL DU GROUPE PUBLIC FERROV - M. MAHBOD FEKRI,"Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/193FBKC","Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/193FBKC",,55,Hébergement touristique et autre hébergement de courte durée,1,https://candidat.francetravail.fr/offres/recherche/detail/193FBKC,,False
193DYFC,Serveur / Serveuse,"Vous avez envie de diversifier vos expériences professionnelles, de gagner en liberté et en sérénité ? Vous êtes au bon endroit ! Avec nos 190 agences réparties sur tout le territoire, nous sommes toujours plus proches de vous. Il y a plein de raisons de donner raison à notre intérim, découvrez l'intérim fait pour vous !  Chez R.A.S Intérim PONT L EVEQUE, nous cherchons un serveur capable de jongler avec les assiettes dans un restaurant de Deauville qui ne ferme jamais. Prêt(e) à signer en intérim ?  VOS MISSIONS :  Lancez-vous dans une mission palpitante où votre charisme et votre agilité seront vos meilleurs alliés pour offrir une expérience culinaire inoubliable à nos chers convives.  - Assurer un accueil chaleureux digne de ce nom, où chaque sourire compte plus qu'une carte VIP.  - Prendre des commandes avec la prestidigitation d'un magicien, sans jamais faire disparaître son sourire.  - Servir les plats avec la grâce d'un équilibriste, sans oublier le panache d'un sommelier en herbe.  - Conseiller les clients comme un oracle, en lisant dans les menus plutôt que dans les étoiles.  - S'assurer que les assiettes reviennent vides mais les cœurs pleins, en se transformant en maître du détail.  - Gérer les surprises du quotidien avec la zen-attitude d'un moine, tout en restant aussi réactif qu'un ninja.  VOTRE PROFIL :  Si vous avez l'élégance d'une danseuse classique tout en portant des assiettes volantes, alors ce poste de serveur ou serveuse est taillé pour vous ! Avec une expérience avancée d'un à deux ans, vous êtes prêt(e) à jongler avec les commandes comme un(e) pro du service, et à décrocher des sourires plutôt que des étoiles.  - Maîtrise impeccable de l'art du plateau, sans jamais en renverser une goutte - Capacité à déchiffrer le langage secret et parfois mystérieux des clients affamés - Polyglotte des saveurs, prêt(e) à recommander les meilleurs plats du chef avec un enthousiasme contagieux - Patience d'ange pour gérer les petites urgences du service sans perdre votre sang-froid légendaire - Charisme naturel et aisance relationnelle, car un sourire sincère n'a jamais déçu - Confiance en vos aptitudes culinaires pour adopter une posture de sommelier en cas de besoin extraordinaire  Ce que nous offrons :  Les avantages RAS Intérim  Financier : 10% de fin de mission + 10% de congés payés, du CET et du Parrainage récompensé  Santé : Mutuelle et Prévoyance  Sociaux : FASTT et Les bons plans RAS  Sécurité : Un module dédié dans votre application My RAS  Accompagnement : Service 24/7, des possibilités d'intégration rapide, de formation et d'évolution, un accompagnement personnalisé et le CDII  Les avantages de la mission  Envie de pimenter votre quotidien avec une mission mi-temps au cœur de Ville ? Rejoignez le voyage intérimaire dès le 7 juin 2025, pour une durée de trois mois. À raison de 12,08 € de l'heure, votre sens de l'engagement sera récompensé, sans oublier ce doux parfum de liberté de l'emploi temporaire. Un emploi qui vous attend patiemment, prêt à bousculer votre agenda et votre routine, tout en vous permettant de jongler entre projets personnels et professionnels. Oui, une aventure professionnelle qui ne veut que votre bien, à Deauville ! N'attendez plus pour sauter dans ce train en marche.      Cette offre vous intéresse ? Voilà la suite :  1. Vous faites le premier pas en répondant à cette offre d'emploi.  2. On vous rappelle si votre profil correspond pour échanger sur vos aspirations et répondre à vos questions.  3. On se rencontre : toujours en présentiel en agence pour mieux faire connaissance et vous guider dans votre inscription.  4. On vous propose une mission si votre inscription est validée, et on vous donne toutes les infos pour vous permettre de bien la comprendre.  5. On vous accompagne : suivi de mission, déclaration des heures, paie... on vous guide jusqu'à la fin de votre co",2025-05-30T14:06:09.332Z,2025-05-30T14:06:09.765Z,14 - DEAUVILLE,49.354629,0.073016,14800,14220,MIS,Intérim - 3 Mois,Contrat travail,D,Débutant accepté,101901;300556;117933;104324;117932,Accueillir le client et l'installer;Conseiller le client dans ses choix de boissons ou plats selon ses goûts;Effectuer le service des plats à table;Prendre une commande client;Réaliser la mise en place de la salle et de l'office,S;S;S;S;S,,Horaire de 12.08 Euros sur 0.0 mois,,temps partiel - 20H Travail les week-ends et jours fériés,Temps partiel,False,RAS 1170 - Mme Noémie CHAPPERON,"Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/193DYFC","Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/193DYFC",,78,Activités des agences de travail temporaire,1,https://candidat.francetravail.fr/offres/recherche/detail/193DYFC,,False
193DXQX,Serveur / Serveuse de restaurant H/F (H/F),"Dans un restaurant situé quartier Bouffay à , vous êtes en charge : - de l'accueil des clients - de la prise de commande - du service en salle et de l'encaissement.  Vous évoluez en salle au sein d'une équipe de 4 personnes pour une moyenne de 80 couverts/jour. Le poste nécessite d'avoir le sens du service et du conseil clientèle.  Horaires en coupure 11h-15h et 19h-00h, y compris le dimanche selon planning tournant. Vous avez 2,5 jours de repos par semaine. ",2025-05-30T13:47:34.907Z,2025-05-30T13:47:35.241Z,44 - NANTES,47.239367,-1.555335,44000,44109,CDI,CDI,Contrat travail,E,3 Mois,101901;117933;117932,Accueillir le client et l'installer;Effectuer le service des plats à table;Réaliser la mise en place de la salle et de l'office,E;E;E,,Mensuel de 2314.0 Euros sur 12.0 mois,Mutuelle,39H Travail en horaires décalés,Temps plein,False,CHEZ MAMAN - M. FABIEN RABALLAND,"Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/193DXQX","Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/193DXQX",,56,Restauration traditionnelle,1,https://candidat.francetravail.fr/offres/recherche/detail/193DXQX,,False
193DXGP,SERVEUR H/F (H/F),"AXION  recherche pour l'un de ses clients UN SERVEUR H/F pour la zone Nord de la Réunion:  Accueillir chaleureusement les clients et les conseiller sur une sélection de vins, bières et spiritueux  Assurer le service au bar et en salle  Maintenir la propreté et l'organisation du bar et de la salle  Participer à la mise en place et au rangement  Créer une ambiance conviviale et festive au sein de l'établissement   Tu es souriant(e), dynamique et polyvalent(e)  Tu aimes le contact humain et travailler en équipe",2025-05-30T13:30:26.038Z,2025-05-30T13:30:26.360Z,974 - ST DENIS,-20.909778,55.444588,97400,97411,MIS,Intérim - 1 Mois,Contrat travail,E,3 Mois,101901;117933;117932;124963,Accueillir le client et l'installer;Effectuer le service des plats à table;Réaliser la mise en place de la salle et de l'office;Réaliser un service en salle,S;S;S;S,,Horaire de 11.88 Euros à 11.89 Euros sur 0.0 mois,,temps partiel - 20H Travail le samedi,Temps partiel,False,AXION OUEST - Mme PAULINE DARGENT,"Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/193DXGP","Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/193DXGP",,78,Activités des agences de travail temporaire,1,https://candidat.francetravail.fr/offres/recherche/detail/193DXGP,,False
193DXFL,Serveur / Serveuse de restaurant                  (H/F),"Situé à 2h45 mns de Paris et à 45 mns de Châteauroux, dans la commune de Pouligny Notre Dame, l'Hôtel Les Dryades comprend, sur plus de 70 hectares, un hôtel de 85 chambres, un spa, un golf ainsi qu'un Château. L'établissement disposant également de deux restaurants et d'une salle petit-déjeuner, nous recrutons un/une serveur/se. Venez participer au développement de ce magnifique complexe hôtelier et golfique en intégrant une équipe motivée!  Vous travaillerez sous la direction du responsable de salle. Vous effectuerez le service en salle et au bar depuis la préparation de la salle jusqu'à l'accueil du client, le service à table, l'encaissement et les opérations de remise en état de la salle.  Possibilité de logement à proximité sur demande et selon disponibilité.   CDD saisonnier jusqu'au 02/11/2025.",2025-05-30T13:16:40.581Z,2025-05-30T13:16:40.903Z,36 - POULIGNY NOTRE DAME,46.468926,2.010645,36160,36163,SAI,Saisonnier - 5 Mois,Contrat travail,E,2 Mois,101901;117933;117932,Accueillir le client et l'installer;Effectuer le service des plats à table;Réaliser la mise en place de la salle et de l'office,S;S;S,,Horaire de 12.08 Euros à 12.25 Euros sur 12.0 mois,,35H Travail les week-ends et jours fériés,Temps plein,False,HOTELOP LES DRYADES - Mme Emilie DESCOUT MOUSSEAU,"Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/193DXFL","Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/193DXFL",,55,Hôtels et hébergement similaire,1,https://candidat.francetravail.fr/offres/recherche/detail/193DXFL,,False
193DXFK,Serveur / Serveuse de restaurant                  (H/F),"Situé à 2h45 mns de Paris et à 45 mns de Châteauroux, dans la commune de Pouligny Notre Dame, l'Hôtel Les Dryades comprend, sur plus de 70 hectares, un hôtel de 85 chambres, un spa, un golf ainsi qu'un Château. L'établissement disposant également de deux restaurants et d'une salle petit-déjeuner, nous recrutons un/une serveur/se. Venez participer au développement de ce magnifique complexe hôtelier et golfique en intégrant une équipe motivée!  Vous travaillerez sous la direction du responsable de salle. Vous effectuerez le service principalement au petit-déjeuner et éventuellement en salle et au bar depuis la préparation de la salle jusqu'à l'accueil du client, le service à table, l'encaissement et les opérations de remise en état de la salle.  Possibilité de logement à proximité sur demande et selon disponibilité.  CDD saisonnier jusqu'au 02/11/2025.",2025-05-30T13:15:31.950Z,2025-05-30T13:15:32.264Z,36 - POULIGNY NOTRE DAME,46.468926,2.010645,36160,36163,SAI,Saisonnier - 5 Mois,Contrat travail,E,2 Mois,101901;117933;117932,Accueillir le client et l'installer;Effectuer le service des plats à table;Réaliser la mise en place de la salle et de l'office,S;S;S,,Horaire de 12.08 Euros sur 12.0 mois,,temps partiel - 30H Travail les week-ends et jours fériés,Temps partiel,False,HOTELOP LES DRYADES - Mme Emilie DESCOUT MOUSSEAU,"Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/193DXFK","Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/193DXFK",,55,Hôtels et hébergement similaire,1,https://candidat.francetravail.fr/offres/recherche/detail/193DXFK,,False
193DXFC,Serveur / Serveuse de restaurant                  (H/F),"Situé à 2h45 mns de Paris et à 45 mns de Châteauroux, dans la commune de Pouligny Notre Dame, l'Hôtel Les Dryades comprend, sur plus de 70 hectares, un hôtel de 85 chambres, un spa, un golf ainsi qu'un Château. L'établissement disposant également d'un restaurant, nous recrutons un/une serveur/se. Venez participer au développement de ce magnifique complexe hôtelier et golfique en intégrant une équipe motivée!  Vous travaillerez sous la direction du responsable de salle. Vous effectuerez le service en salle, au bar ou au petit-déjeuner depuis la préparation de la salle jusqu'à l'accueil du client, le service à table, l'encaissement et les opérations de remise en état de la salle.  CDD extra principalement les week-ends.",2025-05-30T13:12:05.632Z,2025-05-30T13:12:05.960Z,36 - POULIGNY NOTRE DAME,46.468926,2.010645,36160,36163,CDD,CDD - 3 Jour(s),Contrat d'usage,E,2 Mois,101901;117933;117932,Accueillir le client et l'installer;Effectuer le service des plats à table;Réaliser la mise en place de la salle et de l'office,S;S;S,,Horaire de 12.25 Euros sur 12.0 mois,,temps partiel - 21H Travail les week-ends et jours fériés,Temps partiel,False,HOTELOP LES DRYADES - Mme Emilie DESCOUT MOUSSEAU,"Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/193DXFC","Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/193DXFC",,55,Hôtels et hébergement similaire,1,https://candidat.francetravail.fr/offres/recherche/detail/193DXFC,,False
193DWWW,Serveur/Serveuse Résidence Services Séniors (H/F),"Au sein de la résidence service séniors, vous assurer le service du midi et du soir et aidez le cuisinier pour les entrées froides et desserts le week-end. Vous êtes en charge de la mise en place du restaurant et de l'accueil des résidents Vous travaillez de 9h à 20h30 en journées de 10h 1 semaine à 3 jours de travail ( lundi/jeudi/vendredi) et 1 semaine à 4 jours ( mardi/mercredi/samedi/dimanche)",2025-05-30T12:48:04.010Z,2025-05-30T12:48:04.355Z,22 - LANGUEUX,48.498377,-2.709009,22360,22106,CDD,CDD - 6 Mois,Contrat travail,D,Débutant accepté,101901;117933;117932,Accueillir le client et l'installer;Effectuer le service des plats à table;Réaliser la mise en place de la salle et de l'office,S;S;S,,Mensuel de 1850.0 Euros à 1970.0 Euros sur 12.0 mois,,35H Travail en journée,Temps plein,False,RESIDENCE SENIOR ESPACE ET VIE - Mme Sylvie GERECKE,"Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/193DWWW","Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/193DWWW",,88,Aide à domicile,1,https://candidat.francetravail.fr/offres/recherche/detail/193DWWW,,False
