id,intitule,description,dateCreation,dateActualisation,lieuTravail_libelle,lieuTravail_latitude,lieuTravail_longitude,lieuTravail_codePostal,lieuTravail_commune,typeContrat,typeContratLibelle,natureContrat,experienceExige,experienceLibelle,competences_code,competences_libelle,competences_exigence,salaire_commentaire,salaire_libelle,salaire_complement1,dureeTravailLibelle,dureeTravailLibelleConverti,alternance,contact_nom,contact_coordonnees1,contact_courriel,urlPostulation,secteurActivite,secteurActiviteLibelle,origineOffre_origine,origineOffre_urlOrigine,partenaires,offresManqueCandidats
193WFVQ,Serveur / serveuse 5 jours semaine (H/F),O'NEALS Bar Pub Tapas situé au Vieux-Port recherche pour agrandir son équipe un(e) serveur / serveuse.  5 jours par semaine  ,2025-06-13T21:05:49.602Z,2025-06-13T21:05:49.942Z,13 - MARSEILLE 01,43.282,5.405,13001,13201,CDD,CDD - 3 Mois,Contrat travail,D,Débutant accepté,101901;117933;484953;117932;124963;403892,Accueillir le client et l'installer;Effectuer le service des plats à table;Maintenir une communication claire et professionnelle;Réaliser la mise en place de la salle et de l'office;Réaliser un service en salle;S'exprimer avec politesse et courtoisie,E;E;S;E;E;S,,Mensuel de 2060.0 Euros à 2580.0 Euros sur 12.0 mois,,40H Travail les week-ends et jours fériés,Temps plein,False,,,,,56,Débits de boissons,1,https://candidat.francetravail.fr/offres/recherche/detail/193WFVQ,,False
193WFVC,Serveur polyvalent (H/F),Nous recherchons 1 serveur polyvalent uniquement le soir. Vous intégrerez un restaurant traditionnel et familial situé au bord de mer à la Coudoulière à Six-Fours les plages.  CDD 35 h - Travail 6j/7 uniquement le soir de 17h45 à 23h30 - repos hebdomaire tous les lundis. Rémunération SMIC + heures supplémentaires + pourboires + paniers repas.  Poste de juillet à mi septembre.,2025-06-13T20:51:31.214Z,2025-06-13T20:51:31.529Z,83 - SIX FOURS LES PLAGES,43.091706,5.8176,83140,83129,CDD,CDD - 1 Mois,Contrat travail,D,Débutant accepté,101901;117933;117932,Accueillir le client et l'installer;Effectuer le service des plats à table;Réaliser la mise en place de la salle et de l'office,S;S;S,SMIC,,Restauration,35H Travail les week-ends et jours fériés,Temps plein,False,,,,,56,Restauration traditionnelle,1,https://candidat.francetravail.fr/offres/recherche/detail/193WFVC,,False
193WDJV,Serveur / Serveuse en restauration,"Vous rejoignez l'équipe en qualité de serveur(se). Vous assurez  l'accueil des clients, la prise des commandes, la mise en place et le service. Vous êtes totalement autonome sur votre poste.  Une expérience en service est souhaitée pour le poste. Votre sens du relationnel, du contact client et votre dynamisme seront des atouts essentiels au poste.  Vous travaillez à partir du 1er Juillet et jusqu'à fin Aout, à temps plein pour les services du midi et du soir. ",2025-06-13T18:35:04.190Z,2025-06-13T18:35:04.190Z,47 - LE TEMPLE SUR LOT,44.379382,0.518786,47110,47306,SAI,Saisonnier - 2 Mois,Contrat travail,E,6 Mois - en service,101901;117933;117932,Accueillir le client et l'installer;Effectuer le service des plats à table;Réaliser la mise en place de la salle et de l'office,S;S;S,SMIC HOTELLIER,,Autre,40H Autre,Temps plein,False,S.A.S SOLAR EVENTS - M. Olivier PALACIN,"Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/193WDJV","Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/193WDJV",,56,Restauration traditionnelle,1,https://candidat.francetravail.fr/offres/recherche/detail/193WDJV,,False
193WDHN,Serveur Restaurant (h/f),"Votre agence Adecco COSNE COURS SUR LOIRE recrute pour son client basé dans le Cher (18), un Serveur Restaurant (h/f).   Notre client est une entreprise renommée dans le secteur de la restauration traditionnelle, offrant une atmosphère chaleureuse et des plats de qualité. Elle est reconnue pour son engagement envers l'excellence du service et sa passion pour la cuisine traditionnelle.   Vous aurez à assurer la préparation de la salle ainsi que la prise de commandes et le service à l'assiette.  Nous recherchons un individu dynamique, doté d'un excellent sens du service et d'une grande capacité d'adaptation. Excellente présentation requise Expérience dans le service exigée.   Notre client recherche une personne pour renforcer ses équipes notamment sur des services importants tels que les vendredis soir et week-end (samedi midi, samedi soir, dimanche midi et dimanche soir)   Rejoignez une équipe passionnée et dynamique, et contribuez à offrir une expérience culinaire exceptionnelle à nos clients !   Adecco s'engage à promouvoir la diversité et l'égalité des chances. Toute information liée à la candidature est traitée avec la plus stricte confidentialité. À votre salaire de base seront ajoutés 10% de congés payés et 10% d'indemnités de fin de mission.   Merci de postuler uniquement si vous êtes en mesure de vous présenter sur le lieu de travail à la date et à l'heure prévues, et si vous possédez, le cas échéant, un titre de séjour valide pour la durée de la mission. A défaut, votre candidature ne pourra pas être prise en considération. Merci par avance pour votre compréhension.   Grâce à l'application mobile « Adecco et Moi » vous signez vos contrats, demandez vos acomptes et signalez vos indisponibilités.   En travaillant pour Adecco, vous bénéficiez d'avantages et de services utiles au quotidien : -        Compte épargne temps rémunéré -        Mutuelle et Prévoyance -        Aide au logement -        Prêts bancaires -        Formation -        Avantages du CE (chèques vacances, billetterie, location vacances.) ",2025-06-13T18:34:05.285Z,2025-06-13T18:34:05.497Z,18 - Herry,47.230966,2.939043,18140,18110,MIS,Intérim - 1 Mois,Contrat travail,D,Débutant accepté,,,,,Horaire de 11.88 Euros sur 12.0 mois,,35H Travail en journée,Temps plein,False,LHH RECRUITMENT SERVICES - Mme CORRINE RIFFARD,https://tnl2.jometer.com/v2/job?jz=5st1f4be2a9c56d85c9f209d21dee8b8764b8AEADECAAAADAAAAAAAAAAAAAAAACOMLGAM&utm_source=FranceTravail&utm_medium=jobboard&utm_campaign=Adecco_Organic&Source=30,,,78,Activités des agences de travail temporaire,1,https://candidat.francetravail.fr/offres/recherche/detail/193WDHN,,False
193WDDK,Serveur / Serveuse,restaurant port de saint cyprien 66 recherche serveur/se pour saison 15 juin a 31 aout voir 30 septembre,2025-06-13T18:24:48.743Z,2025-06-13T18:24:49.093Z,66 - ST CYPRIEN,42.619322,3.015165,66750,66171,CDD,CDD - 3 Mois,Contrat travail,D,Débutant accepté,101901;300556;117933;104324;117932,Accueillir le client et l'installer;Conseiller le client dans ses choix de boissons ou plats selon ses goûts;Effectuer le service des plats à table;Prendre une commande client;Réaliser la mise en place de la salle et de l'office,E;E;E;E;E,1500 a 1800 e voir plus a discuter,,Autre,39H Travail en journée,Temps plein,False,LE RECIF - M. DIDIER PETRO,"Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/193WDDK","Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/193WDDK",,56,Restauration traditionnelle,1,https://candidat.francetravail.fr/offres/recherche/detail/193WDDK,,False
193WCQZ,Serveur / Serveuse de bar-brasserie (H/F),"SERVEUR Welcome to The Famous Golden Pub !  L'idée :  Accueillir tous nos clients avec le Big Smile et être l'ambassadeur de notre entreprise.  Assurer la mise en place du restaurant et de la terrasse à la belle saison.  Conseiller nos clients, assurer le service des plats à table et contribuer au bon déroulement du service.  Participer au nettoyage et à l'entretien du restaurant.   Vous êtes :  - Autonome et de bonne humeur - Dynamique, disponible, avec l'esprit d'équipe - Vous avez le sens du service client  - Vous avez une expérience professionnelle en relation clientèle et connaissez le service à table. Ce poste est pour vous !   Notre offre : 35h et +  2 jours de repos Heures supplémentaires payées Mutuelle d'entreprise",2025-06-13T17:48:02.499Z,2025-06-13T17:48:02.861Z,02 - ST QUENTIN,49.847398,3.28745,02100,02691,CDI,CDI,Contrat travail,E,12 Mois,480464;480467;477996;104333;480460;100359;104336;104313;104325;119040;101901;300556;117933;300282;104263;485640;403015;484953;485639;104324;124961;300303;400722;117932;400151;300448;403892,"Communication avec la cuisine;Connaissance des menus spéciaux (végétarien, sans gluten);Gestion des plaintes clients;Lecture de plan de salle;Nettoyage des espaces de restauration;Règles d'hygiène et de sécurité alimentaire;Techniques de dressage de table;Techniques de port de plateaux/plats;Techniques du service en salle;Utilisation de caisse informatisée;Accueillir le client et l'installer;Conseiller le client dans ses choix de boissons ou plats selon ses goûts;Effectuer le service des plats à table;Entretenir, nettoyer un espace, un lieu, un local;Essuyer et ranger la vaisselle, la verrerie, les ustensiles de cuisine;Évaluer la satisfaction des clients et recueillir les feedbacks;Garantir la satisfaction du client;Maintenir une communication claire et professionnelle;Maintenir un environnement de travail sécurisé et organisé;Prendre une commande client;Préparer des boissons chaudes ou froides;Procéder à l'encaissement;Proposer des produits additionnels;Réaliser la mise en place de la salle et de l'office;Rendre compte de son action, de risques ou d'anomalies au responsable;Respecter des règles, des consignes, normes et procédures opérationnelles;S'exprimer avec politesse et courtoisie",S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S,,Mensuel de 1820.0 Euros à 1900.0 Euros sur 12.0 mois,Primes,35H Travail les week-ends et jours fériés,Temps plein,False,LE GOLDEN PUB - Mme Annabelle Dubois,"Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/193WCQZ","Pour postuler, utiliser le lien suivant : https://candidat.francetravail.fr/offres/recherche/detail/193WCQZ",,56,Restauration traditionnelle,1,https://candidat.francetravail.fr/offres/recherche/detail/193WCQZ,,False
193WBBX,Serveur (H/F),Le poste : Votre agence PROMAN recherche pour l'un de ses clients un SERVEUR pour une prestation traiteur H/F. Vos missions consisteront à :  - Effectuer de la mise en place ( dressage de tables...).  - Accueillir les clients.  - Prendre les commandes.  - Effecteur le service en salle.   Ce poste est à pourvoir dès que possible.   Profil recherché : Vous connaissez et appliquez les consignes d'hygiène et de sécurité. Vous garantissez la qualité du servie rendu. Attentif vous analysez rapidement les besoins du client. Vous êtes organisé et aimez travailler en équipe.  Tous nos postes sont ouverts aux personnes en situation de handicap.,2025-06-13T17:03:24.207Z,2025-06-13T17:03:24.425Z,33 - Mérignac,44.83337,-0.674682,33700,33281,MIS,Intérim - 1 Jour(s),Contrat travail,D,Débutant accepté,,,,,Horaire de 11.88 Euros à 11.88 Euros sur 12.0 mois,,temps partiel - 7H Travail en journée,Temps partiel,False,PROMAN - M. PROMAN BORDEAUX LOGISTIQUE,https://www.proman-emploi.fr/?job=MP1026933&candidature&origine=POLE-EMPLOI-JTMO&utm_source=pole-emploi-jtmo&utm_medium=referral&utm_campaign=annonces-free&utm_term=offre,,,78,Activités des agences de travail temporaire,1,https://candidat.francetravail.fr/offres/recherche/detail/193WBBX,,False
193VZTB,Serveur / Serveuse de restaurant (H/F),"Restaurant traditionnel à taille humaine adepte du frais maison situé centre ville de Béthune recherche un(e) serveur(se).  Vous connaissez les codes d'un service de qualité : accueil, écoute, conseil. Mais aussi habileté, agilité et rapidité. Vous faites preuve de curiosité pour la cuisine et l'art culinaire.  Un peu d'expérience, l'envie de faire découvrir une cuisine traditionnelle mais inventive, et surtout une volonté de réussir en équipe. Débutant(e) accepté(e) si diplômé(e) d'une école hôtelière (CAP, BAC ou BTS).  Fermé le week-end (sauf exception)!",2025-06-13T16:54:00.655Z,2025-06-13T16:54:35.691Z,62 - BETHUNE,50.528207,2.646031,62400,62119,CDI,CDI,Contrat travail,D,Débutant accepté,101901;117933;117932,Accueillir le client et l'installer;Effectuer le service des plats à table;Réaliser la mise en place de la salle et de l'office,S;S;S,En fonction du profil,,Autre,35H Autre,Temps plein,False,Agence France Travail BETHUNE,230 RUE DE LA FAIENCERIE,,,56,Restauration traditionnelle,1,https://candidat.francetravail.fr/offres/recherche/detail/193VZTB,,False
193VZDK,Serveur / Serveuse en restauration (H/F),"Notre établissement recherche un serveur(euse) si possible expérimenté(e) pour rejoindre notre équipe et garantir un service de qualité à notre clientèle.   Vos missions seront les suivantes :  - Gérer les réservations (individuelles et groupes) par téléphone ou sur place - Accueillir les clients, les accompagner et les conseiller tout au long du repas - Présenter et valoriser nos produits (suggestions, desserts, vins, etc.) - Prendre les commandes, assurer leur suivi et rédiger les bons (manuels ou électroniques) - Adapter le service selon les contraintes de la salle et de la cuisine - Gérer l'encaissement et s'assurer de la satisfaction client (réclamations, demandes spécifiques) - Participer à la mise en place de la salle et au dressage des tables - Gérer les stocks (nappes, couverts, boissons.) et organiser leur rangement - Veiller à la propreté des locaux et au respect des règles d'hygiène et de sécurité - Connaissance des produits et techniques de service en salle - Créativité, sens de l'initiative et esprit d'équipe - Aisance relationnelle, réactivité, dynamisme - Formation gestes et postures souhaitée  Poste en coupure du mardi au samedi - Repos le dimanche et le lundi  ainsi que les jours fériés. Fermeture estivale du 15 août au 30 août. ",2025-06-13T16:41:17.268Z,2025-06-13T16:41:17.268Z,60 - GRANDVILLIERS,49.6649,1.940815,60210,60286,CDI,CDI,Contrat travail,E,1 An(s),101901;300556;117933;403015;485640;300282;485641;117932,"Accueillir le client et l'installer;Conseiller le client dans ses choix de boissons ou plats selon ses goûts;Effectuer le service des plats à table;Garantir la satisfaction du client;Évaluer la satisfaction des clients et recueillir les feedbacks;Entretenir, nettoyer un espace, un lieu, un local;Participer à la gestion des stocks de nourriture et de boissons;Réaliser la mise en place de la salle et de l'office",S;S;S;S;S;S;S;S,Convention collective en vigueur,,Autre,35H Autre,Temps plein,False,Agence France Travail BEAUVAIS MYKONOS,"VILLAGE MYKONOS  BATIMENT G 2 RUE SETUBAL                         
CS50623",,,56,Restauration traditionnelle,1,https://candidat.francetravail.fr/offres/recherche/detail/193VZDK,,False
193VZCK,Serveur / Serveuse de restaurant h/f,Restaurant sur Ronce les Bains recherche pour juillet et aout   Vous accueillerez et effectuerez le service des plats et des boissons.  Service en coupure. Pas de logement possible. Poste nourri midi et soir   Salaire net de juillet : 2200€ net  Salaire net de aout : 2400€ net ,2025-06-13T16:40:28.988Z,2025-06-13T16:40:28.988Z,17 - LA TREMBLADE,45.780632,-1.153287,17390,17452,CDD,CDD - 2 Mois,Contrat travail,D,Débutant accepté,101901;117932;117933;124014,Accueillir le client et l'installer;Réaliser la mise en place de la salle et de l'office;Effectuer le service des plats à table;Nettoyer une salle de réception,S;S;S;S,voir texte,,Autre,48H Autre,Temps plein,False,LES JARDINS DE L'ESTRAN  0631984453 - M. ERIC GAETA,RONCE LES BAINS,,,56,Restauration traditionnelle,1,https://candidat.francetravail.fr/offres/recherche/detail/193VZCK,,False
